Empresa,Ticker,Data,Link,Atualizado
Hypera ,HYPE,24/04/2020,https://fundamentei.com/br/hype,Sim
Coelba ,CEEB,27/04/2020,https://fundamentei.com/br/ceeb,Sim
Neoenergia ,NEOE,27/04/2020,https://fundamentei.com/br/neoe,Sim
Cielo ,CIEL,28/04/2020,https://fundamentei.com/br/ciel,Sim
Indústrias Romi ,ROMI,28/04/2020,https://fundamentei.com/br/romi,Sim
Minerva ,BEEF,28/04/2020,https://fundamentei.com/br/beef,Sim
Raia Drogasil ,RADL,28/04/2020,https://fundamentei.com/br/radl,Sim
Santander Brasil ,SANB,28/04/2020,https://fundamentei.com/br/sanb,Sim
Smiles ,SMLS,28/04/2020,https://fundamentei.com/br/smls,Sim
Vale ,VALE,28/04/2020,https://fundamentei.com/br/vale,Sim
Cesp ,CESP,29/04/2020,https://fundamentei.com/br/cesp,Sim
CTEEP ,TRPL,29/04/2020,https://fundamentei.com/br/trpl,Sim
Log ,LOGG,29/04/2020,https://fundamentei.com/br/logg,Sim
Multiplan ,MULT,29/04/2020,https://fundamentei.com/br/mult,Sim
Odontoprev ,ODPV,29/04/2020,https://fundamentei.com/br/odpv,Sim
Weg ,WEGE,29/04/2020,https://fundamentei.com/br/wege,Sim
Bradesco ,BBDC,30/04/2020,https://fundamentei.com/br/bbdc,Sim
Copasa ,CSMG,30/04/2020,https://fundamentei.com/br/csmg,Sim
BB Seguridade ,BBSE,04/05/2020,https://fundamentei.com/br/bbse,Sim
Itaú Unibanco ,ITUB,04/05/2020,https://fundamentei.com/br/itub,Sim
Klabin ,KLBN,04/05/2020,https://fundamentei.com/br/klbn,Sim
Porto Seguro ,PSSA,04/05/2020,https://fundamentei.com/br/pssa,Sim
Alpargatas ,ALPA,05/05/2020,https://fundamentei.com/br/alpa,Sim
EDP Brasil ,ENBR,05/05/2020,https://fundamentei.com/br/enbr,Sim
TIM ,TIMP,05/05/2020,https://fundamentei.com/br/timp,Sim
AES Tiete ,TIET,06/05/2020,https://fundamentei.com/br/tiet,Sim
Banco Pan ,BPAN,06/05/2020,https://fundamentei.com/br/bpan,Sim
BR Properties ,BRPR,06/05/2020,https://fundamentei.com/br/brpr,Sim
BrasilAgro (3T20),AGRO,06/05/2020,https://fundamentei.com/br/agro,Sim
CSU Cardsystem ,CARD,06/05/2020,https://fundamentei.com/br/card,Sim
Duratex ,DTEX,06/05/2020,https://fundamentei.com/br/dtex,Sim
